No.,Time,Flow,Packet,Class,Arrival,Deadline,Period,Finish Time,Response Time(Finish-Arrival),R/P
1,0,P12_1,F12,7,0,1000000,1000000,0,0,0
2,0.250297,P4_1,F4,6,0,2000000,2000000,250297,250297,0.1251485
3,0.500562,P6_1,F6,5,0,2000000,2000000,500562,500562,0.250281
4,0.750807,P11_1,F11,4,0,2000000,2000000,750807,750807,0.3754035
5,1.001065,P14_1,F14,7,0,8000000,8000000,1001065,1001065,0.125133125
6,1.126331,P12_2,F12,7,1000000,2000000,1000000,1126331,126331,0.126331
7,1.376603,P13_1,F13,3,0,2000000,2000000,1376603,1376603,0.6883015
8,1.626839,P1_1,F1,1,0,4000000,4000000,1626839,1626839,0.40670975
9,1.877086,P9_1,F9,6,0,4000000,4000000,1877086,1877086,0.4692715
10,2.127358,P4_2,F4,6,2000000,4000000,2000000,2127358,127358,0.063679
11,2.37762,P5_1,F5,5,0,8000000,8000000,2377620,2377620,0.2972025
12,2.627884,P10_1,F10,5,0,16000000,16000000,2627884,2627884,0.16424275
13,2.690607,P6_2,F6,5,2000000,4000000,2000000,2690607,690607,0.3453035
14,2.940857,P7_1,F7,4,0,8000000,8000000,2940857,2940857,0.367607125
15,3.003593,P16_1,F16,4,0,16000000,16000000,3003593,3003593,0.187724563
16,3.128832,P11_2,F11,4,2000000,4000000,2000000,3128832,1128832,0.564416
17,3.379077,P12_4,F12,7,3000000,4000000,1000000,3379077,379077,0.379077
18,3.629309,P13_2,F13,3,2000000,4000000,2000000,3629309,1629309,0.8146545
19,3.879542,P2_1,F2,2,0,4000000,4000000,3879542,3879542,0.9698855
20,3.979798,P3_1,F3,1,0,8000000,8000000,3979798,3979798,0.49747475
21,4.105046,P12_5,F12,7,4000000,5000000,1000000,4105046,105046,0.105046
22,4.355351,P15_1,F15,1,0,16000000,16000000,4355351,4355351,0.272209438
23,4.418133,P1_2,F1,1,4000000,8000000,4000000,4418133,418133,0.10453325
24,4.668425,P9_2,F9,6,4000000,8000000,4000000,4668425,668425,0.16710625
25,4.918724,P8_1,F8,2,0,16000000,16000000,4918724,4918724,0.30742025
26,5.04397,P2_2,F2,2,4000000,8000000,4000000,5043970,1043970,0.2609925
27,5.144203,P4_3,F4,8,4000000,6000000,2000000,5144203,1144203,0.5721015
28,5.394457,P6_3,F6,8,4000000,6000000,2000000,5394457,1394457,0.6972285
29,6.004565,P12_7,F12,7,6000000,7000000,1000000,6004565,4565,0.004565
30,6.254805,P4_4,F4,6,6000000,8000000,2000000,6254805,254805,0.1274025
31,6.505049,P6_4,F6,5,6000000,8000000,2000000,6505049,505049,0.2525245
32,6.755302,P11_4,F11,4,6000000,8000000,2000000,6755302,755302,0.377651
33,7.005556,P12_8,F12,7,7000000,8000000,1000000,7005556,5556,0.005556
34,7.255819,P13_4,F13,3,6000000,8000000,2000000,7255819,1255819,0.6279095
35,8.0055,P4_5,F4,6,8000000,10000000,2000000,8005500,5500,0.00275
36,8.255761,P6_5,F6,5,8000000,10000000,2000000,8255761,255761,0.1278805
37,8.506025,P11_5,F11,4,8000000,10000000,2000000,8506025,506025,0.2530125
38,8.756275,P13_5,F13,3,8000000,10000000,2000000,8756275,756275,0.3781375
39,9.006546,P14_2,F14,7,8000000,16000000,8000000,9006546,1006546,0.12581825
40,9.131776,P12_10,F12,7,9000000,10000000,1000000,9131776,131776,0.131776
41,9.38202,P5_2,F5,5,8000000,16000000,8000000,9382020,1382020,0.1727525
42,9.632316,P3_2,F3,1,8000000,16000000,8000000,9632316,1632316,0.2040395
43,9.757603,P7_2,F7,4,8000000,16000000,8000000,9757603,1757603,0.219700375
44,10.00699,P12_11,F12,7,10000000,11000000,1000000,10006990,6990,0.00699
45,10.257224,P1_3,F1,8,8000000,12000000,4000000,10257224,2257224,0.564306
46,10.507456,P9_3,F9,8,8000000,12000000,4000000,10507456,2507456,0.626864
47,10.757685,P2_3,F2,8,8000000,12000000,4000000,10757685,2757685,0.68942125
48,10.85792,P4_6,F4,8,10000000,12000000,2000000,10857920,857920,0.42896
49,11.108209,P6_6,F6,8,10000000,12000000,2000000,11108209,1108209,0.5541045
50,11.358463,P11_6,F11,8,10000000,12000000,2000000,11358463,1358463,0.6792315
51,12.008081,P12_13,F12,7,12000000,13000000,1000000,12008081,8081,0.008081
52,12.258319,P4_7,F4,6,12000000,14000000,2000000,12258319,258319,0.1291595
53,12.50856,P6_7,F6,5,12000000,14000000,2000000,12508560,508560,0.25428
54,12.758821,P11_7,F11,4,12000000,14000000,2000000,12758821,758821,0.3794105
55,13.009105,P12_14,F12,7,13000000,14000000,1000000,13009105,9105,0.009105
56,13.259362,P13_7,F13,3,12000000,14000000,2000000,13259362,1259362,0.629681
57,13.509589,P1_4,F1,1,12000000,16000000,4000000,13509589,1509589,0.37739725
58,13.759845,P9_4,F9,6,12000000,16000000,4000000,13759845,1759845,0.43996125
59,14.010085,P4_8,F4,6,14000000,16000000,2000000,14010085,10085,0.0050425
60,14.260323,P6_8,F6,5,14000000,16000000,2000000,14260323,260323,0.1301615
61,14.510592,P11_8,F11,4,14000000,16000000,2000000,14510592,510592,0.255296
62,14.760835,P13_8,F13,3,14000000,16000000,2000000,14760835,760835,0.3804175
63,15.011113,P12_16,F12,7,15000000,16000000,1000000,15011113,11113,0.011113
64,15.261371,P2_4,F2,2,12000000,16000000,4000000,15261371,3261371,0.81534275
65,16.010276,P12_17,F12,7,16000000,17000000,1000000,16010276,10276,0.010276
66,16.260532,P1_5,F1,1,16000000,20000000,4000000,16260532,260532,0.065133
67,16.510792,P9_5,F9,6,16000000,20000000,4000000,16510792,510792,0.127698
68,16.761128,P2_5,F2,2,16000000,20000000,4000000,16761128,761128,0.190282
69,16.861418,P8_2,F8,2,16000000,32000000,16000000,16861418,861418,0.053838625
70,16.98667,P16_2,F16,4,16000000,32000000,16000000,16986670,986670,0.061666875
71,17.111919,P10_2,F10,5,16000000,32000000,16000000,17111919,1111919,0.069494938
72,17.174641,P15_2,F15,1,16000000,32000000,16000000,17174641,1174641,0.073415063
73,17.237378,P4_9,F4,8,16000000,18000000,2000000,17237378,1237378,0.618689
74,17.48764,P6_9,F6,8,16000000,18000000,2000000,17487640,1487640,0.74382
75,18.011959,P12_19,F12,7,18000000,19000000,1000000,18011959,11959,0.011959
76,18.262275,P4_10,F4,6,18000000,20000000,2000000,18262275,262275,0.1311375
77,18.512527,P6_10,F6,5,18000000,20000000,2000000,18512527,512527,0.2562635
78,18.762774,P11_10,F11,4,18000000,20000000,2000000,18762774,762774,0.381387
79,19.013062,P12_20,F12,7,19000000,20000000,1000000,19013062,13062,0.013062
80,19.263321,P13_10,F13,3,18000000,20000000,2000000,19263321,1263321,0.6316605
81,19.513542,P3_3,F3,8,16000000,24000000,8000000,19513542,3513542,0.43919275
82,19.638767,P7_3,F7,8,16000000,24000000,8000000,19638767,3638767,0.454845875
83,20.013271,P4_11,F4,6,20000000,22000000,2000000,20013271,13271,0.0066355
84,20.263516,P6_11,F6,5,20000000,22000000,2000000,20263516,263516,0.131758
85,20.513739,P11_11,F11,4,20000000,22000000,2000000,20513739,513739,0.2568695
86,20.763988,P13_11,F13,3,20000000,22000000,2000000,20763988,763988,0.381994
87,21.014254,P12_22,F12,7,21000000,22000000,1000000,21014254,14254,0.014254
88,21.264527,P5_3,F5,8,16000000,24000000,8000000,21264527,5264527,0.658065875
89,21.514763,P14_3,F14,8,16000000,24000000,8000000,21514763,5514763,0.689345375
90,21.639993,P2_6,F2,8,20000000,24000000,4000000,21639993,1639993,0.40999825
91,22.014482,P12_23,F12,7,22000000,23000000,1000000,22014482,14482,0.014482
92,22.26475,P1_6,F1,8,20000000,24000000,4000000,22264750,2264750,0.5661875
93,22.514997,P9_6,F9,8,20000000,24000000,4000000,22514997,2514997,0.62874925
94,22.765247,P4_12,F4,8,22000000,24000000,2000000,22765247,765247,0.3826235
95,23.015477,P6_12,F6,8,22000000,24000000,2000000,23015477,1015477,0.5077385
96,23.265689,P11_12,F11,8,22000000,24000000,2000000,23265689,1265689,0.6328445
97,24.015435,P12_25,F12,7,24000000,25000000,1000000,24015435,15435,0.015435
98,24.265686,P4_13,F4,6,24000000,26000000,2000000,24265686,265686,0.132843
99,24.516002,P6_13,F6,5,24000000,26000000,2000000,24516002,516002,0.258001
100,24.766253,P11_13,F11,4,24000000,26000000,2000000,24766253,766253,0.3831265
101,25.016504,P14_4,F14,7,24000000,32000000,8000000,25016504,1016504,0.127063
102,25.141764,P12_26,F12,7,25000000,26000000,1000000,25141764,141764,0.141764
103,25.392016,P13_13,F13,3,24000000,26000000,2000000,25392016,1392016,0.696008
104,25.642256,P1_7,F1,1,24000000,28000000,4000000,25642256,1642256,0.410564
105,25.892493,P9_7,F9,6,24000000,28000000,4000000,25892493,1892493,0.47312325
106,26.142778,P4_14,F4,6,26000000,28000000,2000000,26142778,142778,0.071389
107,26.393047,P5_4,F5,5,24000000,32000000,8000000,26393047,2393047,0.299130875
108,26.64332,P6_14,F6,5,26000000,28000000,2000000,26643320,643320,0.32166
109,26.893597,P7_4,F7,4,24000000,32000000,8000000,26893597,2893597,0.361699625
110,26.95636,P11_14,F11,4,26000000,28000000,2000000,26956360,956360,0.47818
111,27.206637,P12_28,F12,7,27000000,28000000,1000000,27206637,206637,0.206637
112,27.456963,P13_14,F13,3,26000000,28000000,2000000,27456963,1456963,0.7284815
113,27.707207,P2_7,F2,2,24000000,28000000,4000000,27707207,3707207,0.92680175
114,27.807452,P3_4,F3,1,24000000,32000000,8000000,27807452,3807452,0.4759315
115,28.018476,P12_29,F12,7,28000000,29000000,1000000,28018476,18476,0.018476
116,28.268759,P1_8,F1,1,28000000,32000000,4000000,28268759,268759,0.06718975
117,28.519003,P9_8,F9,6,28000000,32000000,4000000,28519003,519003,0.12975075
118,28.769244,P2_8,F2,2,28000000,32000000,4000000,28769244,769244,0.192311
119,28.869496,P4_15,F4,8,28000000,30000000,2000000,28869496,869496,0.434748
120,29.119745,P6_15,F6,8,28000000,30000000,2000000,29119745,1119745,0.5598725
121,29.370012,P11_15,F11,8,28000000,30000000,2000000,29370012,1370012,0.685006
122,30.019622,P12_31,F12,7,30000000,31000000,1000000,30019622,19622,0.019622
123,30.269895,P4_16,F4,6,30000000,32000000,2000000,30269895,269895,0.1349475
124,30.520138,P6_16,F6,5,30000000,32000000,2000000,30520138,520138,0.260069
125,30.77037,P11_16,F11,4,30000000,32000000,2000000,30770370,770370,0.385185
126,31.02064,P12_32,F12,7,31000000,32000000,1000000,31020640,20640,0.02064
127,31.27095,P13_16,F13,3,30000000,32000000,2000000,31270950,1270950,0.635475
128,32.020693,P4_17,F4,6,32000000,34000000,2000000,32020693,20693,0.0103465
129,32.271012,P6_17,F6,5,32000000,34000000,2000000,32271012,271012,0.135506
130,32.521289,P11_17,F11,4,32000000,34000000,2000000,32521289,521289,0.2606445
131,32.771567,P13_17,F13,3,32000000,34000000,2000000,32771567,771567,0.3857835
132,33.021911,P14_5,F14,7,32000000,40000000,8000000,33021911,1021911,0.127738875
133,33.14719,P12_34,F12,7,33000000,34000000,1000000,33147190,147190,0.14719
134,33.397506,P5_5,F5,5,32000000,40000000,8000000,33397506,1397506,0.17468825
135,33.647786,P3_5,F3,1,32000000,40000000,8000000,33647786,1647786,0.20597325
136,33.773032,P7_5,F7,4,32000000,40000000,8000000,33773032,1773032,0.221629
137,34.022468,P12_35,F12,7,34000000,35000000,1000000,34022468,22468,0.022468
138,34.272752,P1_9,F1,8,32000000,36000000,4000000,34272752,2272752,0.568188
139,34.523021,P9_9,F9,8,32000000,36000000,4000000,34523021,2523021,0.63075525
140,34.773292,P2_9,F2,8,32000000,36000000,4000000,34773292,2773292,0.693323
141,34.873534,P8_3,F8,8,32000000,48000000,16000000,34873534,2873534,0.179595875
142,34.998819,P16_3,F16,8,32000000,48000000,16000000,34998819,2998819,0.187426188
143,35.124086,P10_3,F10,8,32000000,48000000,16000000,35124086,3124086,0.195255375
144,35.186814,P15_3,F15,8,32000000,48000000,16000000,35186814,3186814,0.199175875
145,35.249549,P4_18,F4,8,34000000,36000000,2000000,35249549,1249549,0.6247745
146,35.499808,P6_18,F6,8,34000000,36000000,2000000,35499808,1499808,0.749904
147,36.024119,P12_37,F12,7,36000000,37000000,1000000,36024119,24119,0.024119
148,36.274388,P4_19,F4,6,36000000,38000000,2000000,36274388,274388,0.137194
149,36.524645,P6_19,F6,5,36000000,38000000,2000000,36524645,524645,0.2623225
150,36.774907,P11_19,F11,4,36000000,38000000,2000000,36774907,774907,0.3874535
151,37.025194,P12_38,F12,7,37000000,38000000,1000000,37025194,25194,0.025194
152,37.275441,P13_19,F13,3,36000000,38000000,2000000,37275441,1275441,0.6377205
153,37.525684,P1_10,F1,1,36000000,40000000,4000000,37525684,1525684,0.381421
154,37.77595,P9_10,F9,6,36000000,40000000,4000000,37775950,1775950,0.4439875
155,38.026235,P4_20,F4,6,38000000,40000000,2000000,38026235,26235,0.0131175
156,38.276485,P6_20,F6,5,38000000,40000000,2000000,38276485,276485,0.1382425
157,38.526735,P11_20,F11,4,38000000,40000000,2000000,38526735,526735,0.2633675
158,38.777055,P13_20,F13,3,38000000,40000000,2000000,38777055,777055,0.3885275
159,39.027311,P12_40,F12,7,39000000,40000000,1000000,39027311,27311,0.027311
160,39.277576,P2_10,F2,2,36000000,40000000,4000000,39277576,3277576,0.819394
161,40.026501,P12_41,F12,7,40000000,41000000,1000000,40026501,26501,0.026501
162,40.276758,P1_11,F1,1,40000000,44000000,4000000,40276758,276758,0.0691895
163,40.527012,P9_11,F9,6,40000000,44000000,4000000,40527012,527012,0.131753
164,40.77726,P2_11,F2,2,40000000,44000000,4000000,40777260,777260,0.194315
165,40.877517,P4_21,F4,8,40000000,42000000,2000000,40877517,877517,0.4387585
166,41.127776,P6_21,F6,8,40000000,42000000,2000000,41127776,1127776,0.563888
167,41.378055,P11_21,F11,8,40000000,42000000,2000000,41378055,1378055,0.6890275
168,41.628333,P3_6,F3,8,40000000,48000000,8000000,41628333,1628333,0.203541625
169,42.027837,P12_43,F12,7,42000000,43000000,1000000,42027837,27837,0.027837
170,42.27808,P4_22,F4,6,42000000,44000000,2000000,42278080,278080,0.13904
171,42.528317,P6_22,F6,5,42000000,44000000,2000000,42528317,528317,0.2641585
172,42.778625,P11_22,F11,4,42000000,44000000,2000000,42778625,778625,0.3893125
173,43.028914,P12_44,F12,7,43000000,44000000,1000000,43028914,28914,0.028914
174,43.279153,P13_22,F13,3,42000000,44000000,2000000,43279153,1279153,0.6395765
175,43.529385,P14_6,F14,8,40000000,48000000,8000000,43529385,3529385,0.441173125
176,43.654634,P7_6,F7,8,40000000,48000000,8000000,43654634,3654634,0.45682925
177,44.029124,P4_23,F4,6,44000000,46000000,2000000,44029124,29124,0.014562
178,44.279383,P6_23,F6,5,44000000,46000000,2000000,44279383,279383,0.1396915
179,44.529628,P11_23,F11,4,44000000,46000000,2000000,44529628,529628,0.264814
180,44.779894,P13_23,F13,3,44000000,46000000,2000000,44779894,779894,0.389947
181,45.030157,P12_46,F12,7,45000000,46000000,1000000,45030157,30157,0.030157
182,45.28039,P5_6,F5,8,40000000,48000000,8000000,45280390,5280390,0.66004875
183,45.530646,P2_12,F2,8,44000000,48000000,4000000,45530646,1530646,0.3826615
184,46.03026,P12_47,F12,7,46000000,47000000,1000000,46030260,30260,0.03026
185,46.280526,P1_12,F1,8,44000000,48000000,4000000,46280526,2280526,0.5701315
186,46.530792,P9_12,F9,8,44000000,48000000,4000000,46530792,2530792,0.632698
187,46.781046,P4_24,F4,8,46000000,48000000,2000000,46781046,781046,0.390523
188,47.031302,P6_24,F6,8,46000000,48000000,2000000,47031302,1031302,0.515651
189,47.281572,P11_24,F11,8,46000000,48000000,2000000,47281572,1281572,0.640786
190,47.531849,P13_24,F13,8,46000000,48000000,2000000,47531849,1531849,0.7659245
191,47.532849,P12_1,F12,7,48000000,49000000,1000000,48021243,21243,0.021243
192,47.783146,P4_1,F4,6,48000000,50000000,2000000,48250297,250297,0.1251485
193,48.283708,P6_1,F6,5,48000000,50000000,2000000,48500562,500562,0.250281
194,49.034515,P11_1,F11,4,48000000,50000000,2000000,48750807,750807,0.3754035
195,50.03558,P14_1,F14,7,48000000,56000000,8000000,49001065,1001065,0.125133125
196,51.161911,P12_2,F12,7,49000000,50000000,1000000,49126331,126331,0.126331
197,52.538514,P13_1,F13,3,48000000,50000000,2000000,49376603,1376603,0.6883015
198,54.165353,P1_1,F1,1,48000000,52000000,4000000,49626839,1626839,0.40670975
199,56.042439,P9_1,F9,6,48000000,52000000,4000000,49877086,1877086,0.4692715
200,58.169797,P4_2,F4,6,50000000,52000000,2000000,50127358,127358,0.063679
201,60.547417,P5_1,F5,5,48000000,56000000,8000000,50377620,2377620,0.2972025
202,63.175301,P10_1,F10,5,48000000,64000000,16000000,50627884,2627884,0.16424275
203,65.865908,P6_2,F6,5,50000000,52000000,2000000,50690607,690607,0.3453035
204,68.806765,P7_1,F7,4,48000000,56000000,8000000,50940857,2940857,0.367607125
205,71.810358,P16_1,F16,4,48000000,64000000,16000000,51003593,3003593,0.187724563
206,74.93919,P11_2,F11,4,50000000,52000000,2000000,51128832,1128832,0.564416
207,78.318267,P12_4,F12,7,51000000,52000000,1000000,51379077,379077,0.379077
208,81.947576,P13_2,F13,3,50000000,52000000,2000000,51629309,1629309,0.8146545
209,85.827118,P2_1,F2,2,48000000,52000000,4000000,51879542,3879542,0.9698855
210,89.806916,P3_1,F3,1,48000000,56000000,8000000,51979798,3979798,0.49747475
